Question,Answer
"How are recommended writers notified?

","Recommended writers will receive an email notification letting them know that you are recommending their publication.

If you recommend a writer that subscribes to your publication, they’ll receive the email within an hour.

If the writer isn't subscribed to you, they'll receive the notification at a later time when the recommendation has resulted in some number of new subscribers.

Tip: If you write a ""Why I recommend"" blurb, it'll appear in this email."
"Where can I see the impact of my recommendations?

","Your publication's Recommendations stats page shows who is recommending you, who you're recommending, and the number of free subscriptions each recommendation has generated.

Tip: If you see an ""Inactive"" status on your Recommendations stats page, this means that this publication stopped recommending your publication or you've stopped recommending that publication. Any traffic will be displayed here regardless."
"How do I set up my custom domain?
","Have a custom domain you'd like to use for your Substack publication? Get started by linking your domain to Substack by following these steps.

Note: Substack charges a one-time $50 USD fee to use a custom domain for your publication. You must be the publication's owner or group administrator in order to connect the custom domain.

1. Navigate to your Settings page and scroll down to ""Custom Domain.""

2. Go to your DNS provider and create a CNAME alias using these settings:

Below, you can find links to popular provider's support pages on CNAME records.

Google domains: Create a CNAME record
GoDaddy: Add a CNAME record
Namecheap: How to create a CNAME record
Domain.com: How to update a CNAME
DreamHost: Adding a CNAME
Bluehost: What is a CNAME?
Hover: Managing DNS records
Dynadot: How do I create a CNAME?
Cloudflare: If you have registered your domain through Cloudflare, make sure that the “Proxy status” on your CNAME record is set to “DNS only”. The orange cloud icon in the CNAME record row should be grey, not orange.

Tip: What Substack calls ""Name"" and ""Target"" may have different labels on your registrar's setup page. What we call ""Name"" can be called ""Host"" or ""Subdomain,"" and sometimes ""Target"" is labelled ""Points to.""

Here's a quick video on how to add a CNAME on GoDaddy:

3. To manually check whether or not the configuration is ready, use the “check now” button on your Settings page."
"How long does it take for the configuration to work?

","Once your custom domain is linked to Substack, it can take up to 36 hours to fully configure. If it's been over 36 hours, there may be an issue in the configuration. 

First, check in your configuration settings that you've started off your domain with ""www.""

You may need to delete the configuration and start over (you won't be charged again).

Is the domain still not working? Please contact our Support Team with a screenshot of your full CNAME record list on your DNS account, and we'll be glad to help get that sorted out for you!"
"What should I enter in the TTL section?

","Your provider may ask you to configure a TTL which you're welcome to leave alone.

"
"Do I have to include ""www"" in my Substack newsletter URL?

","We require that your Substack newsletter begins with a ""www."" Learn more about root domains here.

"
"What are Substack Pledges?
","If you haven't turned on paid subscriptions for your Substack, Pledges are a tool for your audience to show you they believe your work is valuable. This feature allows your subscribers to pledge to become a paid subscriber if and when you turn on paid subscriptions.

Note: This feature is only available if you have not set up payments on your publication.

Here's how it works:

Managing Pledges

Pledges will be on for all free publications with suggested pricing tiers. To make any changes, head to your publication's Settings page and scroll to the Payments section.

To turn off or turn on Pledges, click on the toggle next to ""Allow readers to pledge subscriptions"".

You can change the suggested pricing for monthly, yearly, and founding subscriptions and enter your own minimum. The pledge amount must be higher than the standard Substack minimum of $5/month and $50/year."
"What do readers see?

","When a reader first subscribers to your publication, they'll see an opportunity to pledge a yearly, monthly, or founding plan. If they'd like to continue without pledging, they can select ""No pledge"".

Subscribers must enter their payment information to complete their pledge, but there will be no immediate charge. If you turn on paid subscriptions, their pledges will turn into recurring paid subscriptions. If you never turn on paid, nothing will happen.

The subscriber can also write a message about why they'd like to support your publication.

Tip: If a subscribers is logged into their Substack account and have a paid subscription to at least one other publication, their card details will be automatically pre-filled."
How do I know when I get a Pledge?,"When a subscriber pledges to pay for a subscription, you'll be notified by email.

You'll see the options to turn on payments or manage the Pledges feature (found on your publication's Settings page).

To turn off email notifications for pledges head to the Notifications section on your Settings page and toggle off next to ""Payment pledge email notifications""."
"What happens if I turn on payments and my subscriptions plans are higher than the pledge amounts?
","If you turn on payments on your Substack and the subscription plans are higher than the amount a reader pledged, then we'll notify the reader via email about the price change.

For example, if you set the pledge pricing tiers to be $8.00/month but you set your subscription monthly price to $10.00/month during the payment setup, the reader's pledge won't automatically turn into a $10.00/month subscription.

The reader will have the option to become a paid subscriber at the higher rate by clicking on ""Subscribe"" in the notification email and then they'll immediately become a paid subscriber. "
"What is a Substack Bestseller badge?","Substack Bestseller badges are for writers and are based on the number of paid subscribers a publication has at that time.

You may notice different colored badges next to a writer's name:

Purple: tens of thousands of paid subscribers

Orange: thousands of paid subscribers

White: hundreds of paid subscribers

A badge can appear on multiple surfaces such as a publication's welcome page, post byline, a Substack profile, or in the comments section."
How do I hide a bestseller badge from my name and Substack profile?,"If you don't want a Substack Bestseller badge to appear next to your name, you can hide this in your Profile settings.

1. Sign into your Substack account and click on your profile icon and select your name in the menu.

2. Click on ""Edit profile"".

3. Scroll to the Privacy section and check the toggle next to ""Bestseller badge"".

If the toggle is green, the badge will appear next to your name
If the toggle is gray, the badge will not appear next to your name

Tip: To hide your badge, click on the toggle from the right to the left."
What is Substack Boost?,"Introducing Boost: Growth on autopilot
Put the Substack team’s data and expertise to work for your publication. Substack Boost will automatically show discounts and special offers at the right moment to maximize your revenue. Turn on Substack Boost — it’s completely free to use and requires no time to set up or manage."
Tell me more…,"Growing a Substack publication isn’t all on your shoulders. The Substack team is building tools that will grow your Substack on auto-pilot so you can focus on the hard part: the writing itself.

Boost is our most comprehensive investment to date in helping writers accelerate their businesses. For writers who opt into Boost, we’ll work in the background to optimize your revenue by determining the most opportune times to offer a particular subscriber a special offer, including free trials, discounts on paid subscriptions, gift subscriptions, or the likes. These upsell efforts require no time from the writer to manage or implement – and you can opt out at any time.

Once you turn on Boost, we’ll automatically use special offers at just the right moments to maximize your earnings. For example, we may use Boost to optimize free to paid conversion on promotional surfaces and to help prevent subscribers from churning."
"How do I opt out of the Referral program?
","If you're not interested in participating in the Referral program, please follow these steps:

1. Log into your Substack account and click on your publication's Settings tab.

2. Navigate to the Referral program section and uncheck the box next to ""Enable referral program""."
What happens after I opt out of the Referral program?,"Once you disable the Referral program on your publication, future paid subscribers will not be able to refer new readers and current referrers won't be able to access the Gift Rewards page that allows them to send gift subscriptions."
Does Substack have a referral program?,"Yes! With our referral program, paid subscribers can bring new readers to your publication by gifting them access to your paid content for a limited time. "
How do I turn on the referral program? ,"Navigate to your publication's Settings page and scroll to the Referral program section. Check the box next to ""Enable referral program"".

Once enabled, you can customize an email that Substack will send out on your behalf to new and top paid subscribers.

Any new paid subscribers– will receive the gift subscription email fourteen days after their first payment.
Current top paid subscribers- will receive the gift subscription email on an ongoing basis based on their engagement with your publication.
image.png

Tip: The referral button is unique only to this email and is not the same as the ""Gift a gift subscription"" button found in the editor toolbar. The referral button is not available to be used in posts or email newsletters."
How can my subscribers refer their friends to my publication?,"New and top paid subscribers will receive an email with a link to a Gift Rewards page on their Substack account.

On the Gift Rewards page, referrers can send up to three gift subscriptions (one free month of paid subscriber benefits) with a personal message and view who has accepted a gift subscription.

Note: Your paid subscribers may receive a referral email every six months but not more than once during that time."
What do gift subscription recipients need to do?,"No credit card is required in order for the recipient to claim their gift and cancelling a subscription isn't necessary.

When a gift subscription is ending and the recipient hasn't added a payment method and converted to a paid subscription, they'll automatically become a free subscriber.

Tip: We'll send reminder emails to recipients before their subscription is expiring and nudge them to add a payment method to keep their paid access. A link to continue their subscription will be in these emails."
Where can I see who is sending gift referrals?,"Head to your Stats dashboard and select on Gift Referrals. Click on each category to see least to greatest or vice versa.

You can also view on your Subscribers dashboard who the recipients in the referral program are. Set a filter as ""Subscription type is Gift"". These subscribers will appear as ""Gift"". Other paid subscribers will appear as well under this filter as ""Monthly Gift"" and ""Yearly Gift"".

Note: ""Monthly Gift"" and ""Yearly Gift"" subscribers are different from the referral program as these subscribers have been gifted paid subscriptions and count towards your ARR whereas recipients in the referral program have been gifted trials to your publication.
"
What is a Welcome page?,"When new readers who haven't been to your publication before visit your Substack, they'll be automatically shown a Welcome page. 

The Welcome page will show:

A cover photo to introduce your publication.
The author of the publication.
A description i.e. what you write about.
How long the publication has been on Substack.
Any endorsements (up to 3)."
"How do I edit my Welcome page?","To make changes to your Welcome page, head to your Settings and scroll to the Set up the basics section. Select ""edit"" next to the below features:

Cover photo: Add or change the photo for your Welcome page. Once you upload a photo, you'll have the option to hide your publication's name or one-line description. The image should be at least 600 x 600px.

Author: To change the name that displays on your Welcome page, head to your Profile and edit your name.

One-line description: This appears at the top of the Welcome page. If you'd like to change your description after creating your publication, head to this section and make any edits here.

Recommendation blurbs: Here, you'll be able to add or remove any endorsements from other Substack writers. Only Substack writers who have recommended you to their readers can be added to your Welcome page. Blurbs will not appear on the mobile version of Substack."
"How do I add an endorsement to my publication?","If you've set up Recommendations on your publication, you can add endorsements to your Welcome page so that new readers can see why other writers on Substack recommend your publication.

Head to your publication's Settings page and scroll to the Set up the basics section. Click ""edit"" next to ""Recommendation blurbs on welcome page"".

Here, you'll be able view writers that have recommend you to their readers and a blurb about why they recommend your publication.

Select ""Add Blurb"" next to the endorsement that you'd like to display on your Welcome page. You can add up to 3 blurbs.

The blurbs you've selected will now appear on your Welcome page. New visitors are shown this page if they haven't been to your publication before.

Note: Only Substack publications that have Recommendations enabled and have recommended your publication can be added as an endorsement to your Welcome page. Blurbs will not appear on the mobile version of Substack."
How do I preview my publication's Welcome page?,"To preview your Welcome page after adding a blurb, click on any welcome page link that is on your Settings page."
"What are recommendations digests?","When a writer makes a new recommendation for a publication or podcast they like, we’ll include this in a recommendations digest email that we send to their subscribers.

Readers can unsubscribe anytime from this digest email and this won’t affect their subscription to your publication. "
Can I opt out of being included in this email?,"Yes! Opting out will exclude from the digest:

Recommendations you make and
Recommendations your publication has received from other writers.
Note: Readers will still receive emails if other writers that they subscribe to make new recommendations.

Head to your Manage recommendations page and uncheck the box next to ""Include my recommendations in Substack recommendation digests”."
What are the stars on my Subscribers dashboard?,"The stars next to your subscriber's email on your Subscribers dashboard represents how actively the subscriber has used your newsletter in the last month; this includes email opens and web views.

Note: These stars are not given by the publication's author i.e. these are not subscriber ratings and you cannot give stars to your readers."
What does it mean when there are no stars?,"A subscriber with zero stars means they haven't opened any of your email newsletters. 

This subscriber could be a new sign-up since your most recent post. Since they haven't received a newsletter post yet since subscribing to your publication, their star status would be zero.

Another reason for zero stars could be linked to the subscriber's mail app. Privacy features such as in Apple Mail prevents senders from knowing when a recipient opens an email."
What does it mean when a subscriber has five stars?,"A subscriber with five stars is in the highest percentile (80th-100th) for days active on your publication relative to your other subscribers. More than likely, they have either read all or most of your posts."
Can I filter on my dashboard to see who has the least and most amount of stars?,"Yes! To see a list of subscribers who have 0-5 stars, click on the ""Filter"" button and first select the subscriber type and then ""Add a filter"". Select ""Activity"" from the drop-down box and then select between 0-5 stars."
How do I export my email list on Substack?,"To export your publication's email list on Substack head to your Dashboard and Subscribers page.

Click on ""Export"" and select whether you'd like to export statistics for your entire list or matching subscribers if you'd applied any filters. You'll also have the option to choose whether to export all columns or any columns you've selected on the Subscribers dashboard for each subscriber."
"What happens when I connect my Twitter to my Substack publication?","If you connect your Twitter account to your Substack publication, we'll send an email to Substack readers who follow you on Twitter letting them know that you now have a Substack publication which they can subscribe to.

Note: Readers who receive these emails have connected their Twitter account with Substack and have opted-in to receiving these notifications.

This email will be sent when you publish your first post (excluding ""Coming Soon"") and we'll include a link to that post in the email.

Tip: If your publication is in invite-only mode, these emails to your Twitter followers who are also Substack readers will not be sent unless you make your publication public."
"Can I moderate comments on my Substack posts?","On a post, you can either remove comments or moderate comments reported by readers.

If you'd like to moderate comments on a post, you can enable comment reporting on your publication.

1. Head to your publication Settings and scroll to the Community section.

2. Check the box next to ""Enable comment reports"".

3. Click on ""Manage comments"" to view the comment moderation queue."
How does reader-reported comments work?,"Readers can help identify and report unwanted commenter behavior by using the reporting tool on comments.

Reported comments will appear in the ""Reported"" tab. Review the comment and select ""Approve"" or ""Remove"". 

If you choose to remove the comment, it'll appear in the ""Removed"" tab and not be visible to other readers.
If you choose to approve the comment, it'll appear in the ""Approved"" tab and remain on your publication.
To see why a reader reported a comment, select ""See report reasons""."
Will I be notified about reader-reported comments?,"Yes! Depending on if there are any new reader-reported comments, you will be notified on a daily cadence via email.
Note: If you do not want your readers to be able to report comments, you can uncheck the “Enable comment reports” box in the Community section of your Settings."
"What does email disabled mean?","If you've selected to receive an email notification when a free subscriber unsubscribes, we'll send you an email confirmation that their email has been disabled and removed from your list.

This notification is optional and can be turned off by going to your publication's Settings page and unchecking the box next to ""Email Disabled Notifications""."
"What are the optimal image dimensions for my Substack publication?","We’ve found that these are the best image dimensions for your publication’s design elements:
Logo: At least 256 x 256 px with a transparent background.
Email banners: Recommended 1100 x 220 px with a transparent background, but could be taller.
Cover image: At least 600 x 600 px.
Social / post preview image: We recommend at least 1456 x 1048 px, but 420 x 300 px is the minimum. 14:10 is the aspect ratio for the preview images.
Full-width images: The maximum aspect ratio is 1:1 for height — taller images will be automatically cropped to 1:1."
"How can I optimize my Substack publication for SEO?","At Substack, we do a number of things behind the scenes to ensure that all publications are indexed and ranked well in search engines. While ranking is determined by Google's concept of writer credibility and the number of links that direct to your website, we're continually evolving our approach and improving the SEO benefits for publications.

There are a number of things you can do to strengthen your SEO presence and help grow your Substack's prominence on the internet."
"Use your name as your Substack publication URL","When creating your publication, we recommend using your name in your Substack URL as this is most likely what readers will search for. 

Note: If you have an existing site or publication name that readers are already familiar with, we recommend using that as your Substack subdomain.

Readers are more likely to search for your name on Google rather than the title of a publication that they may not be familiar with.

""Your name Substack"" is a better search term than ""Two minute tea time"".

If you already have a Substack publication, you can change the subdomain by heading to your Settings and clicking on ""Change Subdomain""."
"Link your Substack on your personal site and social media","Have a personal site? Here's a couple things you can do:

Share your Substack publication link on your site by asking visitors to check out your publication e.g. “Subscribe to [your name or name of your Substack] on Substack.”
Embed your newsletter's email signup form directly onto your site. This HTML code can be found in your Settings.
Add your Substack URL on social media like Twitter and Instagram as a clickable URL in the bio or website field. This can drive traffic to your Substack and your reputation on Google."
"The more links, the better","The best way to improve your SEO ranking is to get more inbound links to your Substack publication. An inbound link is a link on another site that directs readers to your Substack.

How can you increase links to your Substack? Our Community team recommends talking about your Substack everywhere. Not only does this increase the visibility of your publication but inbound links indicates to search engines the trustworthiness of your Substack.

Tip: Know a fellow Substack writer? Ask them if you can be a guest author or if they can share your Substack on their publication. Both are considered as inbound links."
"How do I share posts or publications from other writers on my Substack?","Have a writer you'd like to share with your Substack audience?

By embedding a link into your post, your readers will be able to see a card-style preview which links to other Substack posts and publications."
"How do I embed a link to share a publication?","1. Copy the writer's Substack URL and paste it directly into a new post.

2. Choose how you'd like the card to appear by selecting a layout icon on top of the embed.

Horizontal icon: Clicking on the card will send readers directly to the writer's Substack main page.
 
Vertical icon: A subscribe button will appear."
"How do I embed a link to share a post?","To share a post, grab a post's URL and paste it directly into your draft post. This will embed a linked preview of the post's first few lines."
"Can I embed my own previous posts in a new post?","Yes! When creating a new post, you can insert links to past free and/or paid posts. By doing this, you can quote and share past content and also lets readers get a sneak peek of a paid post."
"How do I change the currency on subscription plans?
","On Substack, you have the flexibility to set the currency on how you'd like subscribers to pay.

To change the currency of paid subscribers on your publication, follow these steps:

1. Head to your Settings page and scroll to ""Set up paid subscriptions"".

2. Under Subscription plans, click on USD and select your preferred currency from the drop-down box."
"How can I customize renewal reminder emails?","We automatically send renewal emails to annual paid subscribers one week before their current subscriptions expire. 

You can customize this email by following these steps:

1. Navigate to your Settings page and scroll to the ""Set up paid subscriptions"" section.

2. Select ""edit"" next to ""Subscription renewal email"".

3. Change the default template by deleting and entering your own text and click ""Save""."
"How do I turn off paid subscriptions?","To turn off paid subscriptions, navigate to your Settings page and scroll down to the Danger Zone.

Click on “Disconnect Stripe"":

This option will: 

Refund and notify all your paid subscribers by email 
Cancel all paid subscriptions to your newsletter
Revoke Substack’s access to your Stripe account 
The balance you’ll need in your Stripe account to successfully refund paying subscribers for subscription time they paid for but won’t receive will be automatically calculated for you. 

If you’d like to disconnect your account without cancelling or refunding subscriptions, submit a request here."
"How can I create multiple newsletters or podcasts under one publication?","You can create and manage multiple newsletters or podcasts associated with a single publication by following these steps:

1. Head to your publication's Settings page and scroll to ""Sections"". To create a newsletter section, select ""New newsletter"". To create a podcast, click on ""New podcast"".

2. Once you've filled out the details of your new section, select whether you'd like to:

Add new subscribers by default
Any new subscriber who sign ups for your publication will be automatically subscribed to your section. If this box is unchecked, they will have to subscribe to this newsletter or podcast separately.
Copy your email list
Existing subscribers to your publication will automatically be subscribed to this newsletter or podcast. Subscribers will not receive a notification when added to a new section.

3. Sections will be displayed at the top of your publication’s homepage and will be given an editable URL slug within your publication domain that defaults to the section's title:

your.substack.com/s/section (Replace your with the name of your publication)"
What happens if I have a new subscriber?,"If you've checked the box next to ""Add new subscribers by default"" when creating a section, then all new subscribers will receive all sections by default. They can edit this by doing one of the following:

Click ""unsubscribe"" at the bottom of any email from you, which takes them to a page where they can choose what to subscribe to.
Log into their Substack account, head to their Settings, select their subscription and choose which sections to receive."
Some things to keep in mind when using sections: ,"We recommend using sections for publishing new content rather than displaying static resources or information, for which recommended links is a better feature.
Creating multiple sections under one publication is a separate feature from authoring multiple publications from your Substack account. You can author multiple publications, which your readers will subscribe to separately, by following the steps here. "
"How do I edit email banner, header, and footers?","Any publication can add a banner, header, or footer to their publication emails.

To make edits:

1. Navigate to your Settings page and scroll to the ""Publication Details"" section.

2. Choose “edit” next to ""Email header, banner, and footer settings"".

3. On this page, you can set up header and footer content for free subscribers and paid subscribers.

4. Uploading a banner image is optional and we recommend 1100x220 PNG for the best results.

Tip: To see the various email layouts, send yourself a test email by entering your email address under ""Send test emails""."
"How do I set a custom theme for my publication?","You can customize your Substack by selecting different colors for your publication background, selecting from a variety of fonts, and also changing the publication layout.

When logged into your Substack account, head to your Settings tab and scroll down to the Style section.

Click on “Edit Theme” to set color, layout, and font styles for your publication and select “Set theme” to save your changes.

Tip: If you'd like to try random colors and fonts, click on the shuffle icon next to Edit theme on the Theme page."
"How do I add a cover photo to my welcome page?","A cover photo is an optional image that is used to introduce your publication on your Welcome page.

You can add a cover photo by heading to your Settings page and scrolling to the ""Set up the basics"" section and uploading an image.

Tip: We recommend this photo be at least 600x600px."
"What is an alias record?",An alias record is a special type of record that only a few registrars support that allows you to map a domain to another domain (very similar to CNAME) but crucially allows you to map the “root” domain to something else. Practically this matters because it allows someone to set up their custom domain with us as e.g. example.com as opposed to www.example.com
"How do I configure a CNAME with my registrar?","Check with your domain registrar to configure your CNAME. Below are a few helpful docs for common registrars to get you started. 

Google domains: Create a CNAME record
GoDaddy: Add a CNAME record
Namecheap: How to create a CNAME record
Domain.com: How to update a CNAME
DreamHost: Adding a CNAME
Bluehost: What is a CNAME?
Hover: Managing DNS records
Dynadot: How do I create a CNAME?
Cloudflare: If you have registered your domain through Cloudflare, make sure that the “Proxy status” on your CNAME record is set to “DNS only”. The orange cloud icon in the CNAME record row should be grey, not orange."
"Does my Substack URL have to include www?","When you buy a domain, the name you buy– such as “example.com” or “example.co.uk”– is called the “root domain”. Your domain registrar will also allow you to use subdomains, such as “www.example.com” or “blog.example.co.uk”."
"Why does Substack require ""www"" in my newsletter URL?","Some domain registrars, including GoDaddy and Google Domains, only allow CNAME records to point from a subdomain and not from a root domain (this is sometimes called “CNAME flattening”). For example, on Godaddy, you won’t be able to use example.com for your Substack publication, but you will be able to use www.example.com.

If you've registered your domain with one of these registrars, we require a subdomain for your Substack.

Formats that work:

www.example.com
newsletter.example.com

Format that won't work:

example.com"
Is there a workaround?,"After setting up a CNAME for your newsletter, the next step is to set up a 301 redirect that basically forwards the non-www version of your custom domain to the www URL.

example.com → www.example.com"
"Can I make a private Substack publication?","A private Substack publication is a secret publication you can host alone or invite others to join. Once you enable this feature, your Substack will be blocked from the public, but any current readers (free subscribers and/or paying subscribers) will still have access to the private publication. 

You can decide not to invite anyone to your private publication or invite others to join by sending them an invitation via email. You can also give access to your paying subscribers to invite up to 10 friends.

To turn this on, navigate to your Settings page and scroll down to ""Import your email list"". Check the box next to “Invite-only mode”"
"How do I invite readers to my private Substack?
","When logged into your Substack account, head to this link:

https://yoursubdomain.substack.com/invite

Replace ""your subdomain"" with the name of your Substack publication.

You can also view the invite form by clicking on ""Click here"" in the ""Let paid subscribers invite"" section.

Enter the reader's name and email address and select ""Invite"".

The reader will be automatically subscribed as a free subscriber and sent an email confirmation. If you have payments enabled, they'll be prompted to upgrade their subscription."
"How do I add tags to my publication?","Categorizing your publication with keywords helps others discover your writing from search. You can add up to 2 categories and change them at any time. 

Note: The search tool on the Discover page can only be used to search for and locate publications - not specific posts.

To add categories to your publication:

1. Sign in to your Substack account and navigate to your publication's Settings page.

2. In the Basics section, select from the drop-down menu what you think your publication is about. For example, Culture or Travel can be two categories you can select. "
Can I embed a signup form for my publication?,"To embed a signup form for your Substack publication head to your Settings page and scroll to ""Import your email list"".

Insert this HTML code onto any website to embed a signup form for your Substack publication.

Note: Our embedded signup forms work on any platform that support HTML IFrames (Wordpress, SquareSpace, custom websites, etc.) but this excludes Medium.

Currently, the embedded signup form is not customizable at this time."
"Can I pause my publication?","Yes! When you pause:

The billing cycles for your subscribers will be frozen
New readers will not be able to sign up for a paid subscription
Existing paid subscribers won't be charged.
There is no time limit when you pause your publication and when you're ready to start publishing again, you can unpause to resume the billing cycles of your paid subscribers.

Head to your Settings and scroll to Set up paid subscriptions. Click on ""Pause billing"" under Pause subscription billing."
"Can I set up another subscription plan for readers who want to pay more?","The Founding Member plan allows your most loyal readers to subscribe at any amount higher than the regular plans.

If you have paid subscriptions enabled, head to your publication's Settings page and scroll to Founding member plan.

Enter the suggested amount and click ""Save"".

Once this plan is enabled, it will be displayed on your subscription plans page along with the monthly and annual plans.

With the Founding member plan, you can send send email newsletters to just this tier of subscribers or they can view posts that are just for them.

Once you're ready to publish your draft post, select ""This post is for founding member only"" on the Publish page.

Founding members will be sent a newsletter and can view the post on the web as well. Non-founding members will see a paywall when viewing a post that's only for founding members.

Note: Founding member posts will have a special founding members symbol instead of the standard lock symbol for paid posts."
